ID_Cliente,Edad,Estado_Civil,Ingreso_Mensual,Cuenta_Sueldo,Cantidad_Producto_Financiero_BBVA,Uso_Banca_Internet,Deuda_Total_Tarjeta_ Credito,Linea_Disponible_Tarjeta_Credito,Linea_Total_Tarjeta_Credito,Porcentaje_Linea_Utilizada,Cantidad TOTAL_Reclamos
ID66,39,3,19.2,0,4,1,7.21,4.6,11.81,61%,6
ID67,39,3,16.06,1,4,1,0.89,113.61,114.5,1%,6
ID68,40,3,16.71,0,3,1,24.43,47.74,72.17,34%,5
ID69,40,1,15.85,0,4,1,4.98,59.12,64.1,8%,3
ID70,40,3,19.58,1,3,1,19.08,75.36,94.44,20%,4
ID71,40,3,17.74,0,3,1,2.55,77.76,80.31,3%,4
ID72,40,3,12.22,0,3,1,0,50,50,0%,4
ID73,40,3,12.9,1,3,0,0,6,6,0%,6
ID74,40,0,14.58,1,3,1,15.34,120,135.34,11%,3
ID75,40,3,16.41,0,4,1,11.03,37.17,48.2,23%,5
ID76,41,0,14.61,0,2,0,0,52.5,52.5,0%,4
ID77,41,3,12.56,0,3,1,0,70,70,0%,4
ID78,41,0,13.05,1,4,1,0,90,90,0%,8
ID79,41,3,15.82,0,2,0,0,100,100,0%,8
ID80,41,3,13.92,0,2,0,0,90,90,0%,5
ID81,41,3,17.2,0,2,1,0,70,70,0%,5
ID82,41,3,19.44,0,2,0,0,40,40,0%,4
ID83,41,3,16.68,0,3,1,0,120,120,0%,8
ID84,41,1,17.64,1,4,1,1.32,7.03,8.35,16%,5
ID85,41,0,14.89,0,4,1,32.2,5.18,37.38,86%,5
ID86,41,3,19.55,0,4,1,2.69,9.3,11.99,22%,8
ID87,41,3,19.94,1,4,1,5.81,49.6,55.41,10%,3
ID88,41,0,16.33,1,4,1,0,57,57,0%,3
ID89,41,0,13.37,0,4,1,1.1,78.33,79.43,1%,7
ID90,41,3,19.05,1,4,1,7.03,4.79,11.82,59%,4
ID91,42,1,15.65,0,2,0,0,30,30,0%,3
ID92,42,3,14.2,1,2,1,19.67,10.33,30,66%,2
ID93,42,0,18.46,0,2,0,0,110,110,0%,3
ID94,42,1,12.02,1,3,1,4.66,25.26,29.92,16%,6
ID95,42,3,19.71,0,3,1,12.84,16.4,29.24,44%,7
ID96,42,3,13.5,0,3,1,2.79,47.15,49.94,6%,2
ID97,42,0,16.89,0,3,1,0,75.9,75.9,0%,5
ID98,42,3,19.75,0,3,0,0,70,70,0%,4
ID99,42,3,16.26,1,3,1,18.02,21.72,39.74,45%,5
ID100,42,3,19.49,1,4,1,21.3,2.58,23.88,89%,0
ID101,42,3,13.43,0,4,1,17.04,70,87.04,20%,6
ID102,42,3,15.15,1,4,1,13.86,5.89,19.75,70%,2
ID103,42,3,18.22,1,4,1,19.93,140.72,160.65,12%,4
ID104,42,1,18.98,1,4,1,18.12,51.11,69.23,26%,4
ID105,43,3,17.04,0,4,1,28.41,65,93.41,30%,6
ID106,43,3,19.97,0,4,0,0,120,120,0%,5
ID107,43,3,14.28,0,2,1,0,40,40,0%,5
ID108,43,3,13.92,0,3,0,0,70,70,0%,4
ID109,43,1,16.96,0,3,1,0,35,35,0%,7
ID110,43,3,14.79,1,4,1,7.82,7.29,15.11,52%,3
ID111,43,3,19.82,0,4,1,22.17,31.33,53.5,41%,2
ID112,43,3,15.43,1,4,1,8.72,40.64,49.36,18%,3
ID113,43,3,14.38,0,4,1,3.23,77.23,80.46,4%,7
ID114,43,3,14.69,0,4,1,0,100,100,0%,4
ID115,43,0,15.33,1,4,1,2.5,32.48,34.98,7%,8
ID116,44,0,13.48,0,2,0,0,110,110,0%,3
ID117,44,0,19.36,0,3,0,0,110,110,0%,4
ID118,44,1,19.06,1,4,1,0,120,120,0%,7
ID119,44,3,19.68,1,4,1,0,21,21,0%,6
ID120,44,0,18.34,1,4,1,10.76,95.11,105.87,10%,2
ID121,44,1,16.96,0,4,1,0,80,80,0%,4
ID122,44,0,13.72,1,4,1,24.81,10.99,35.8,69%,4
ID123,44,3,12.91,1,4,0,11.67,110.59,122.26,10%,2
ID124,45,0,12.37,0,2,0,0,70,70,0%,5
ID125,45,0,16.7,0,2,0,0,65,65,0%,3
ID126,45,1,12.27,0,4,1,1.81,5.28,7.09,26%,4
ID127,45,3,15.76,1,4,0,15.79,58.67,74.46,21%,8
ID128,45,3,14.66,1,2,1,0,50,50,0%,8
ID129,45,3,15.57,0,2,1,0,76,76,0%,7
ID130,45,1,15.9,0,2,1,0,93.5,93.5,0%,1
ID131,45,3,16.77,0,2,1,0,60,60,0%,4
ID132,45,3,19.39,0,2,1,0,70,70,0%,7
ID133,45,1,19.38,1,3,1,0,75,75,0%,3
ID134,45,1,15.35,0,3,1,0,60,60,0%,8
ID135,45,0,15.23,0,3,0,0,80,80,0%,6
ID136,45,3,17.13,0,3,1,30.82,65.1,95.92,32%,3
ID137,45,0,13.97,1,4,1,12.97,21.97,34.94,37%,4
ID138,46,1,19.92,0,2,0,0,80,80,0%,4
ID139,46,3,15.86,0,3,0,0,60,60,0%,5
ID140,46,0,16.42,0,2,1,4.97,95,99.97,5%,6
ID141,46,3,19.9,0,3,1,0.05,61.45,61.5,0%,5
ID142,46,1,17.66,0,3,0,0,6,6,0%,8
ID143,46,3,14.57,1,4,1,18.8,15.06,33.86,56%,7
ID144,46,0,19.24,0,4,1,0,70,70,0%,4
ID145,47,3,17.21,1,1,1,0,40,40,0%,4
ID146,47,0,17.27,0,2,1,0,95,95,0%,5
ID147,47,3,19.53,0,2,1,0,40,40,0%,7
ID148,47,1,19.19,1,4,1,6.36,40.44,46.8,14%,4
ID149,47,3,15.19,0,2,0,13.95,73.01,86.96,16%,7
ID150,47,0,14.4,0,2,0,0,40,40,0%,7
ID151,47,0,12.94,0,2,0,0,70,70,0%,4
ID152,47,0,18.87,0,2,0,0,25,25,0%,3
ID153,47,1,18.82,0,2,0,0.12,11.88,12,1%,7
ID154,47,0,13.21,0,3,0,0,50,50,0%,4
ID155,47,3,14.07,1,4,1,27.83,23.17,51,55%,3
ID156,47,1,12.05,0,4,1,4.17,95.54,99.71,4%,6
ID157,47,0,17.58,0,4,1,0,33,33,0%,4
ID158,47,3,17.82,0,4,1,2.17,27.82,29.99,7%,8
ID159,47,3,17.75,1,4,1,5.4,24.6,30,18%,5
ID160,48,3,18.17,0,4,0,0.24,56.74,56.98,0%,8
ID161,48,3,13.04,0,2,0,0,50,50,0%,4
ID162,48,3,12.36,0,2,1,0,22,22,0%,6
ID163,48,3,15.73,0,2,0,0,110,110,0%,3
ID164,48,1,16.48,0,2,0,0,70,70,0%,5
ID165,48,0,17.2,0,2,0,0,60,60,0%,5
ID166,48,3,15.71,0,3,0,11.34,42.03,53.37,21%,6
ID167,48,0,12.82,1,3,1,1.48,10.5,11.98,12%,5
ID168,48,0,15.82,0,3,1,21.87,101.61,123.48,18%,1
ID169,48,1,16.25,0,3,1,0,6,6,0%,5
ID170,48,0,17.99,0,4,1,18.42,21.53,39.95,46%,2
ID171,48,3,16.21,1,4,1,0,20,20,0%,5
ID172,49,3,13.98,0,2,0,0,50,50,0%,4
ID173,49,0,19.59,0,4,1,0.08,53.92,54,0%,8
ID174,49,1,15.88,0,4,0,0,30,30,0%,2
ID175,49,0,19.89,0,2,1,47.86,80,127.86,37%,3
ID176,49,3,17.57,0,2,1,0,50,50,0%,6
ID177,49,3,16.28,0,3,1,0.25,38.74,38.99,1%,6
ID178,49,0,17.51,0,3,1,35.54,75,110.54,32%,3
ID179,49,3,14.2,0,3,0,0,120,120,0%,2
ID180,49,3,15.28,0,3,1,0,5.5,5.5,0%,4
ID181,49,3,13.05,0,4,1,45.64,90,135.64,34%,6
ID182,49,3,17.71,0,4,1,7.95,37.38,45.33,18%,6
ID183,49,3,18.65,1,4,1,7.73,71.7,79.43,10%,5
ID184,50,3,12.15,0,3,1,0,120,120,0%,2
ID185,50,3,14.66,1,4,1,1.47,38.02,39.49,4%,3
ID186,50,1,15.1,0,1,0,19.2,95,114.2,17%,7
ID187,50,3,19.37,0,2,1,8.84,39.04,47.88,18%,8
ID188,50,1,13.48,0,2,0,0,40,40,0%,1
ID189,50,0,17.52,0,2,1,40.88,16.85,57.73,71%,8
ID190,50,3,19.67,0,2,0,0,40,40,0%,2
ID191,50,1,19.01,0,3,0,0,40,40,0%,6
ID192,50,1,15.31,0,3,1,33.69,23.93,57.62,58%,6
ID193,50,3,12.67,1,3,1,2.4,7.6,10,24%,6
ID194,50,1,12.72,0,3,1,3.44,96.56,100,3%,2
ID195,50,3,12.16,0,4,1,0.33,11.67,12,3%,6
ID196,50,0,15.96,0,4,1,11.7,64.47,76.17,15%,7
ID197,50,3,14.19,0,4,0,0,90,90,0%,6
ID198,50,3,14.1,0,4,1,14.63,80,94.63,15%,3
ID199,50,1,16.09,0,4,1,3.06,30.76,33.82,9%,5
ID200,50,0,17.19,0,4,1,0,40,40,0%,5
ID201,50,3,17.04,0,4,1,0,40,40,0%,4
ID202,50,0,14.88,0,4,1,0,25.5,25.5,0%,5
ID203,51,0,17.56,1,2,0,0,90,90,0%,7
ID204,51,1,16.93,0,2,0,0,80,80,0%,7
ID205,51,1,12.48,0,2,0,31.21,3.75,34.96,89%,3
ID206,51,0,19.65,0,2,0,0,62,62,0%,5
ID207,51,1,18.22,0,2,1,14.63,35.14,49.77,29%,5
ID208,51,3,14.69,0,3,1,6.28,93.41,99.69,6%,2
ID209,51,0,14.95,0,3,1,0,25,25,0%,8
ID210,51,1,17.72,1,4,1,0,80,80,0%,7
ID211,51,0,14.16,0,4,1,20.08,5.95,26.03,77%,3
ID212,51,3,14.8,0,4,1,3.89,66.15,70.04,6%,7
ID213,52,3,16.2,0,2,1,36.04,70,106.04,34%,5
ID214,52,3,14.52,0,2,1,0.67,31.33,32,2%,9
ID215,52,3,14.75,0,2,1,0,40,40,0%,6
ID216,52,3,13.49,0,2,0,0,40,40,0%,5
ID217,52,1,18.26,1,3,1,10.6,0.84,11.44,93%,5
ID218,52,1,17.31,0,3,1,4,25.7,29.7,13%,1
ID219,52,3,12.7,0,3,1,0.86,22.14,23,4%,5
ID220,52,1,18.21,0,4,0,13.91,17.06,30.97,45%,6
ID221,52,0,18.94,1,4,1,9.02,100,109.02,8%,4
ID222,52,3,14.18,1,4,1,0.4,122.7,123.1,0%,5
ID223,52,3,18.73,1,4,1,0,100,100,0%,6
ID224,52,3,13,1,4,1,7.7,4.11,11.81,65%,3
ID225,52,3,16.07,1,4,1,19.95,111.74,131.69,15%,9
ID226,52,1,19.2,0,4,1,0.05,14.94,14.99,0%,7
ID227,53,3,14.9,1,4,0,27.83,2.17,30,93%,3
ID228,53,3,19.29,0,2,0,0,120,120,0%,4
ID229,53,0,18.17,0,2,1,0,100,100,0%,6
ID230,53,3,19.06,0,2,0,0,60,60,0%,8
ID231,53,3,13.52,0,2,0,0,30,30,0%,3
ID232,53,1,19.17,0,3,1,11.51,33.48,44.99,26%,5
ID233,53,3,19.38,0,3,1,0,60,60,0%,4
ID234,53,1,15.24,0,4,0,0,76,76,0%,6
ID235,53,1,14.17,0,4,1,0,120,120,0%,8
ID236,53,0,14.66,0,4,1,0,70,70,0%,6
ID237,53,0,18.02,0,4,1,0,40,40,0%,8
ID238,53,3,19.35,1,4,1,23.25,30.31,53.56,43%,8
ID239,54,3,16.06,1,4,0,0,80,80,0%,8
ID240,54,3,12.18,0,2,1,12.72,27.28,40,32%,1
ID241,54,1,18.33,0,3,1,32.1,46.13,78.23,41%,4
ID242,54,3,17.44,0,3,1,0,90,90,0%,5
ID243,54,3,15.08,0,4,1,5.08,24.92,30,17%,6
ID244,54,3,18.86,0,4,0,0,70,70,0%,9
ID245,55,3,16.4,1,4,1,0.96,29.67,30.63,3%,4
ID246,55,1,12.64,0,2,1,0,4.5,4.5,0%,5
ID247,55,3,13.33,0,3,0,0,90,90,0%,4
ID248,55,1,18.68,0,3,1,0,39,39,0%,6
ID249,55,1,13,1,4,1,19.11,7.45,26.56,72%,9
ID250,55,3,12.73,1,4,1,0,40,40,0%,5
ID251,56,3,19.48,1,2,1,0,65,65,0%,3
ID252,56,3,17.7,0,2,1,0,50,50,0%,5
ID253,56,2,14.03,1,2,1,0,5,5,0%,3
ID254,56,1,13.04,0,2,1,19.24,26.72,45.96,42%,3
ID255,56,1,18.97,0,4,1,0,100,100,0%,2
ID256,56,2,12.32,1,4,1,13.1,46.9,60,22%,6
ID257,57,2,13.37,0,4,1,0,30,30,0%,5
ID258,57,1,14.62,0,3,1,28.62,46.38,75,38%,4
ID259,57,3,12.75,0,4,1,12.73,70,82.73,15%,5
ID260,57,2,15.55,0,4,0,33.62,46.58,80.2,42%,4
ID261,57,3,16.55,1,4,1,0,15,15,0%,6
ID262,57,0,14.35,0,4,1,13.83,120,133.83,10%,7
ID263,57,0,17.32,1,4,1,2.43,27.45,29.88,8%,7
ID264,57,1,13.99,0,4,1,3.19,91.79,94.98,3%,7
ID265,58,2,13.78,0,2,1,0,87.5,87.5,0%,2
ID266,58,2,15.59,0,4,0,2.96,23.44,26.4,11%,6
ID267,58,3,12.8,0,4,1,0,70,70,0%,6
ID268,58,2,12.9,1,4,1,2.29,40.71,43,5%,7
ID269,58,0,14.93,0,4,1,0,100,100,0%,8
ID270,59,3,15.36,0,3,0,0,75,75,0%,3
ID271,59,2,16.26,0,2,1,0,95,95,0%,7
ID272,59,1,14.92,0,1,0,0,65,65,0%,7
ID273,59,0,17.17,0,2,1,17.41,44.31,61.72,28%,5
ID274,59,0,12.93,0,2,0,0,75.1,75.1,0%,5
ID275,59,2,15.44,0,3,0,1.91,4.44,6.35,30%,3
ID276,59,2,19.87,0,3,1,0,60,60,0%,4
ID277,59,3,14.65,0,3,1,0,52.13,52.13,0%,4
ID278,59,2,16.68,0,4,1,0.18,11.82,12,2%,4
ID279,59,3,19.11,1,4,1,9.31,20.61,29.92,31%,9
ID280,60,2,13.86,0,3,1,0,9.25,9.25,0%,5
ID281,60,1,15.45,0,4,1,1.01,33.98,34.99,3%,7
ID282,60,1,19.12,0,4,1,47.57,110,157.57,30%,6
ID283,61,2,13.17,0,2,1,9.29,0.69,9.98,93%,3
ID284,61,3,16.38,0,3,1,0,110,110,0%,10
ID285,61,2,15.41,0,4,0,0.64,23.84,24.48,3%,3
ID286,62,2,14.86,1,3,1,22.83,51.03,73.86,31%,4
ID287,62,2,19.29,0,3,1,0,70,70,0%,4
ID288,62,2,12.95,1,4,1,8.2,90.19,98.39,8%,6
ID289,63,3,18.07,0,2,1,0,110,110,0%,4
ID290,63,2,13.33,0,2,0,0,70,70,0%,3
ID291,63,3,18.73,0,3,1,0.66,19.34,20,3%,4
ID292,63,3,15.25,0,4,0,0,40,40,0%,6
ID293,64,2,12.18,1,4,1,0,60,60,0%,5
ID294,64,1,12.63,0,4,1,13.06,70.06,83.12,16%,4
ID295,65,1,14.03,0,2,1,0.39,99.6,99.99,0%,4
ID296,65,3,15.55,0,2,0,0,120,120,0%,6
ID297,65,1,19.77,1,3,1,0.28,14.02,14.3,2%,7
ID298,65,0,13.14,1,3,1,35.6,76,111.6,32%,7
ID299,65,0,19.52,1,4,1,3.89,11.12,15.01,26%,6
ID300,65,1,16.72,0,4,1,2,98,100,2%,2
ID301,65,2,17.54,1,4,1,2.77,139.48,142.25,2%,1
ID302,66,0,19.03,1,4,1,0.77,66.33,67.1,1%,10
ID303,66,0,14.31,0,4,1,37.47,89.66,127.13,29%,4
ID304,66,1,18.75,0,4,1,0,97.5,97.5,0%,7
ID305,66,1,14.99,0,4,1,0,50,50,0%,6
